,target,period,prices_old_alt,prices_alt,fprices_alt
175,Ireland,1998,109.533024310092,100.301204819277,109.533024310092
176,Ireland,1999,111.727396273575,100.35140562249,111.727396273575
177,Ireland,2000,117.683553685062,100.401606425703,117.683553685062
178,Ireland,2001,117.184691670632,100.451807228916,117.184691670632
179,Ireland,2002,116.44817675994,100.502008032129,116.44817675994
180,Ireland,2003,113.332121869986,100.552208835341,113.332121869986
181,Ireland,2004,113.686871305994,100.602409638554,113.686871305994
182,Ireland,2005,116.085791072955,100.652610441767,116.085791072955
183,Ireland,2006,118.115205387784,100.70281124498,118.115205387784
184,Ireland,2007,118.224549320967,100.753012048193,118.224549320967
185,Ireland,2008,121.84766390866,100.803212851406,121.84766390866
186,Ireland,2009,116.917474747799,100.853413654619,116.917474747799
187,Ireland,2010,120.212267245375,100.903614457831,120.212267245375
188,Ireland,2011,119.606355298033,100.953815261044,119.606355298033
189,Ireland,2012,124.732059877325,101.004016064257,124.732059877325
190,Ireland,2013,123.277020757393,101.05421686747,123.277020757393
191,Ireland,2014,123.81988513052,101.104417670683,123.81988513052
192,Ireland,2015,132.977814133085,101.154618473896,132.977814133085
193,Ireland,2016,130.192563364148,101.204819277109,130.192563364148
194,Ireland,2017,130.132780927181,101.255020080321,130.132780927181
195,Ireland,2018,131.902262843836,101.305220883534,131.902262843836
196,Ireland,2019,134.131829513474,101.355421686747,134.131829513474
197,Italy,1992,100,100,100
198,Italy,1993,96.1803337930556,100.050200803213,96.1803337930556
199,Italy,1994,96.177253151236,100.100401606426,96.177253151236
200,Italy,1995,94.0903899889381,100.150602409639,94.0903899889381
201,Italy,1996,102.556058505067,100.200803212851,102.556058505067
202,Italy,1997,105.49160048854,100.251004016064,105.49160048854
203,Italy,1998,105.92436418086,100.301204819277,105.92436418086
204,Italy,1999,106.829822466517,100.35140562249,106.829822466517
205,Italy,2000,111.227661872463,100.401606425703,111.227661872463
206,Italy,2001,114.003957986903,100.451807228916,114.003957986903
207,Italy,2002,115.563401527552,100.502008032129,115.563401527552
208,Italy,2003,115.460032434605,100.552208835341,115.460032434605
209,Italy,2004,116.726872643779,100.602409638554,116.726872643779
210,Italy,2005,119.170647889888,100.652610441767,119.170647889888
211,Italy,2006,121.687492433978,100.70281124498,121.687492433978
212,Italy,2007,124.580177304929,100.753012048193,124.580177304929
213,Italy,2008,128.102645338531,100.803212851406,128.102645338531
214,Italy,2009,125.176230537712,100.853413654619,125.176230537712
215,Italy,2010,128.082799828001,100.903614457831,128.082799828001
216,Italy,2011,133.240670059048,100.953815261044,133.240670059048
217,Italy,2012,135.868260848479,101.004016064257,135.868260848479
218,Italy,2013,135.597340937284,101.05421686747,135.597340937284
219,Italy,2014,135.557006006601,101.104417670683,135.557006006601
220,Italy,2015,134.991534971074,101.154618473896,134.991534971074
221,Italy,2016,133.983169398511,101.204819277109,133.983169398511
222,Italy,2017,136.370597558024,101.255020080321,136.370597558024
223,Italy,2018,138.932671960847,101.305220883534,138.932671960847
224,Italy,2019,139.831824116948,101.355421686747,139.831824116948
225,Netherlands,1992,100,100,100
226,Netherlands,1993,101.998403661848,100.050200803213,101.998403661848
227,Netherlands,1994,103.420319949758,100.100401606426,103.420319949758
228,Netherlands,1995,107.138734273187,100.150602409639,107.138734273187
229,Netherlands,1996,105.837609178701,100.200803212851,105.837609178701
230,Netherlands,1997,105.194105027957,100.251004016064,105.194105027957
231,Netherlands,1998,103.142746299918,100.301204819277,103.142746299918
232,Netherlands,1999,102.346802986864,100.35140562249,102.346802986864
233,Netherlands,2000,108.13131733991,100.401606425703,108.13131733991
