ect_x,tech,reporter,year,ect_m
-16.4865738602859,RES,Austria,2007,-8.43060062334481
-16.4759649506307,RES,Austria,2008,-8.46079664986259
-16.4590754852823,RES,Austria,2009,-8.48498061203376
-16.4412026409841,RES,Austria,2018,-8.44457297601072
-16.4385086965598,RES,Austria,2011,-8.4517601870164
-16.4313126212568,RES,Austria,2017,-8.44422987858935
-16.4292669940493,RES,Austria,2019,-8.4481475000418
-16.4170194866722,RES,Austria,2016,-8.43504723060687
-16.4159296822002,RES,Austria,2012,-8.46084739690131
-16.415380027725,LOW,Austria,1995,-4.95225333748741
-16.4097067217036,LOW,Austria,1994,-5.01032879550611
-16.4004724187155,PRIM,Finland,1993,-5.1164017392725
-16.3981645309136,LOW,Austria,1996,-4.9395229053275
-16.3980001037903,RES,Austria,2015,-8.44725717691595
-16.3915095007722,LOW,Austria,1997,-4.93803427489698
-16.3911612638952,LOW,Austria,1993,-4.94496204917651
-16.3892356388394,RES,Austria,2013,-8.46740757415864
-16.3869635736022,RES,Austria,2014,-8.46108330576711
-16.353441710294,LOW,Austria,1998,-4.90298167946738
-16.3483282026445,LOW,Austria,2000,-4.92607226849522
-16.3446651495117,LOW,Austria,1999,-4.90665988671169
-16.3077369971762,LOW,Austria,2001,-4.88535771783904
-16.3001764514853,LOW,Austria,2004,-4.86236797155952
-16.2989098922457,LOW,Austria,2002,-4.85608576034318
-16.2804372650663,LOW,Austria,2003,-4.88095410873054
-16.268611841655,LOW,Austria,2005,-4.83138559641509
-16.2631846851461,LOW,Austria,2010,-4.90051304670782
-16.2449518828846,LOW,Austria,2006,-4.81589647331185
-16.2416420373575,PRIM,Finland,1994,-5.09147553701024
-16.2387244845455,LOW,Austria,2007,-4.81657229089913
-16.2273963101222,LOW,Austria,2008,-4.8237983579413
-16.2104539766517,LOW,Austria,2009,-4.8388821971036
-16.1906846579477,LOW,Austria,2018,-4.75177983833374
-16.1904902563304,LOW,Austria,2011,-4.81832056746076
-16.1814600431249,LOW,Austria,2017,-4.76545500328661
-16.1783022935583,LOW,Austria,2019,-4.74031295626423
-16.1742531500845,PRIM,Finland,1995,-5.03774459596226
-16.1676712060214,LOW,Austria,2016,-4.76863675479033
-16.1675067576823,LOW,Austria,2012,-4.8093257340662
-16.1492174503804,LOW,Austria,2015,-4.78718213513394
-16.1409559140021,LOW,Austria,2013,-4.81162941908748
-16.1396787840193,PRIM,Finland,1996,-5.03004754013622
-16.1386364156002,LOW,Austria,2014,-4.80514514463013
-16.1201074683166,PRIM,Finland,1997,-5.02211623960719
-16.0505267792658,PRIM,Finland,1998,-5.01543592936382
-16.0284655118825,PRIM,Finland,1999,-5.02545339024108
-15.9940115779743,PRIM,Finland,2017,-4.86514243278374
-15.991439772975,PRIM,Finland,2016,-4.87311042061852
-15.9852255563425,PRIM,Finland,2019,-4.84070013752842
-15.9835827916836,PRIM,Finland,2000,-5.057168106513
-15.9632301155208,PRIM,Finland,2018,-4.87693992914517
-15.9583033433031,PRIM,Finland,2004,-5.02657826755929
-15.9494163084943,PRIM,Finland,2015,-4.88322769884562
-15.9414651574028,PRIM,Finland,2002,-5.04566126189528
-15.9247982555129,PRIM,Finland,2003,-5.03273088773056
-15.9230257599845,PRIM,Finland,2005,-5.01576275131759
-15.9152531441239,PRIM,Finland,2001,-5.01510278328093
-15.9070772255025,PRIM,Finland,2012,-4.93269451146672
-15.906282110354,PRIM,Finland,2010,-4.95687032037075
-15.8945249804534,PRIM,Finland,2006,-4.95691128734716
-15.894082222664,PRIM,Finland,2013,-4.89732613847236
-15.8938657977996,PRIM,Finland,2011,-4.9496619995709
-15.8925238897872,PRIM,Finland,2014,-4.8805033452933
-15.8641873434193,PRIM,Finland,2007,-4.96097306915544
-15.8362694656538,PRIM,Finland,2008,-4.9785342668862
-15.7771121923649,PRIM,Finland,2009,-4.91531737326823
-12.4558158778264,PRIM,France,1993,-8.80082979197317
-12.4489449924997,PRIM,France,1994,-8.82228545079659
-12.4260822447254,PRIM,France,1995,-8.78283406541191
-12.3889645094614,PRIM,France,1996,-8.75096654830863
-12.3831684366236,PRIM,France,1997,-8.75416897555821
-12.3563406211374,PRIM,Italy,2010,-28.1890432667617
-12.3454792036752,PRIM,France,2010,-8.61613988152811
-12.3270543584758,PRIM,France,2009,-8.57479009179025
-12.326876347842,PRIM,France,2008,-8.5826908308378
