ect_x,tech,reporter,year,ect_m
-21.5203710651402,RES,Portugal,2014,-0.609712881909672
-21.4852091933508,RES,Portugal,2008,-0.556301644315184
-21.4773005566264,RES,Portugal,2007,-0.573827453059089
-21.455915580904,RES,Portugal,1994,-0.714547377507227
-21.4554977627237,RES,Portugal,2013,-0.590237825509323
-21.434578075958,RES,Portugal,2010,-0.552880348333993
-21.4327087166144,RES,Portugal,1993,-0.726301146808197
-21.4114134709698,RES,Portugal,2006,-0.496046290640667
-21.3942612142808,RES,Portugal,2005,-0.473131209531179
-21.3652440300966,RES,Portugal,2004,-0.522113549587655
-21.3591849274947,RES,Portugal,2001,-0.598748517620859
-21.3506892987461,RES,Portugal,2000,-0.607274996845238
-21.3441143346522,RES,Portugal,2002,-0.596680052934467
-21.3174363739009,RES,Portugal,1999,-0.561644630611255
-21.3008736011096,RES,Portugal,1995,-0.53460399062908
-21.2933929286385,RES,Portugal,2003,-0.494740464538463
-21.2606809012568,RES,Portugal,1997,-0.539235256362954
-21.2555349623824,RES,Portugal,1998,-0.522826964767933
-21.2471766547267,RES,Portugal,1996,-0.512138245141053
-20.3438276225306,HIGH,Spain,1993,-8.18026055176089
-20.3276947015788,HIGH,Spain,2009,-7.80734558707999
-20.247199606677,HIGH,Spain,2011,-7.72133759899667
-20.2276457324747,HIGH,Spain,1994,-8.07509532905247
-20.2080248389401,HIGH,Spain,2008,-7.85121006586209
-20.1917975870607,HIGH,Spain,1995,-8.00855651406356
-20.1683536619205,HIGH,Spain,2007,-7.75162456788844
-20.1668934475596,HIGH,Spain,2010,-7.91943274677168
-20.1638496919156,HIGH,Spain,2006,-7.76396024278542
-20.1406254553737,HIGH,Spain,1996,-7.98138865542561
-20.1252562612031,HIGH,Spain,2005,-7.7661230294873
-20.0937834974576,HIGH,Spain,2004,-7.7683915055819
-20.0746256471681,HIGH,Spain,2002,-7.80717935560409
-20.0725856313671,HIGH,Spain,2012,-7.87849566806294
-20.0698334600331,HIGH,Spain,2003,-7.80124483666613
-20.0688212049732,HIGH,Spain,2019,-7.81904735842499
-20.0652516935727,HIGH,Spain,1998,-7.84499028249848
-20.0651918078032,HIGH,Spain,1997,-7.90232457006737
-20.0609849647283,HIGH,Spain,2001,-7.79634731712079
