ect_x,tech,reporter,year,ect_m
-15.1514785557269,PRIM,Portugal,2005,11.4863054952364
-15.1508458455494,PRIM,Portugal,2018,11.6322958564592
-15.1477988667435,PRIM,Portugal,2002,11.4469529462955
-15.1400605043363,PRIM,Portugal,2003,11.3792916197945
-15.1371773218962,PRIM,Portugal,2000,11.3528291630807
-15.1221597406823,PRIM,Portugal,1994,11.3312539831546
-15.1198530604748,PRIM,Netherlands,1993,-3.08046701621294
-15.1193433864485,PRIM,Portugal,2004,11.4499174970159
-15.114389649649,PRIM,Portugal,2019,11.7061395336429
-15.1137617087828,PRIM,Netherlands,2019,-3.19879288075705
-15.113632908947,PRIM,Portugal,2001,11.4606057999668
-15.1087515725686,PRIM,Portugal,2008,11.5986432610971
-15.1076291704877,PRIM,Netherlands,2018,-3.23635772757376
-15.1016358947311,PRIM,Portugal,2017,11.562508509264
-15.1003589420042,PRIM,Portugal,1995,11.3611386323558
-15.0984772706902,PRIM,Netherlands,2002,-3.14927584786739
-15.0939202721614,PRIM,Netherlands,1997,-3.17279148549825
-15.0916028531115,PRIM,Portugal,2006,11.6161801379595
-15.0895381753879,PRIM,Portugal,2007,11.6724293295458
-15.0871423001054,PRIM,Portugal,1997,11.4710567125763
-15.0859208845046,PRIM,Netherlands,2008,-3.16306517764048
-15.0850644700153,PRIM,Portugal,1998,11.4591931509475
-15.082416862393,PRIM,Netherlands,2017,-3.2262290011772
-15.0803934405605,PRIM,Netherlands,2007,-2.96924115964674
-15.0632596127024,PRIM,Netherlands,2012,-3.09251716932157
-15.0598076897151,PRIM,Portugal,2009,11.7365297724686
-15.0525538735809,PRIM,Portugal,2011,11.64378338112
-15.0476076372307,PRIM,Portugal,2012,11.752676328293
-15.0418799056123,PRIM,Portugal,2010,11.595926082551
-15.0362760906516,PRIM,Netherlands,2000,-3.16334103627159
-15.0361500942574,PRIM,Netherlands,1999,-3.16700340792037
-15.029493390095,PRIM,Netherlands,2014,-2.99593516421401
-15.0259442628354,PRIM,Netherlands,2013,-2.98671355638634
-15.02517402104,PRIM,Portugal,2016,11.696626452637
-15.0071490825237,PRIM,Netherlands,2015,-3.01873511745033
-14.994957226044,PRIM,Portugal,1993,11.4720600707328
-14.99249687997,PRIM,Portugal,1996,11.4978767008307
-14.9782624820111,PRIM,Netherlands,2016,-3.09282950279751
-14.955168097826,PRIM,Portugal,2015,11.8281523984529
-14.9510637944528,PRIM,Portugal,2013,11.8544139723642
-14.9487132828667,PRIM,Netherlands,2001,-3.07522654409249
-14.9152418949173,PRIM,Netherlands,1998,-3.05286244183885
-14.9018029966707,PRIM,Portugal,2014,11.9169762223682
-14.3009784527857,HIGH,Spain,1993,7.04971025213173
-14.1049317059596,HIGH,Spain,1994,6.95358694059411
-14.0064491492906,HIGH,Spain,1996,7.02384181483062
-13.9496127223866,HIGH,Spain,1995,7.01058191912961
-13.9245708112222,HIGH,Spain,2008,7.16590225412273
-13.9200708538077,HIGH,Spain,2009,7.25969918543103
-13.8981226132173,HIGH,Spain,1997,7.13606557128423
-13.8802201064456,HIGH,Spain,1999,7.16579545114402
-13.8702789439422,HIGH,Spain,2007,7.15714128442025
-13.8636394598252,HIGH,Spain,1998,7.13104767008029
-13.8536233378143,HIGH,Spain,2005,7.13941493117106
-13.8256842790835,PRIM,Spain,1993,13.0482504387498
-13.8227771426098,HIGH,Spain,2002,7.2279216501025
-13.8184779272926,HIGH,Spain,2000,7.29365680408499
-13.8117105760101,HIGH,Spain,2004,7.09675532823798
-13.8049485475179,HIGH,Spain,2010,7.10620065416897
-13.7977495823686,HIGH,Spain,2006,7.14962192762161
-13.7910395780042,HIGH,Spain,2003,7.1318497481184
-13.7821241527163,HIGH,Spain,2001,7.35183688037458
-13.7538068157444,HIGH,Spain,2019,7.13281225463974
-13.7505106273277,HIGH,Spain,2011,7.17989968085519
-13.7058776346373,HIGH,Spain,2018,7.17016886651419
-13.6889062049087,HIGH,Spain,2012,7.12564988087502
-13.6464410067724,PRIM,Spain,1994,12.9535399755522
-13.6413528858727,HIGH,Spain,2015,7.17562220661306
-13.6310212303048,HIGH,Spain,2016,7.24134935500225
-13.6195226217172,HIGH,Spain,2013,7.14553836827552
-13.6194050137661,HIGH,Spain,2017,7.17883517950694
-13.5887026174805,RES,Spain,2005,7.83626752459529
-13.579766640642,RES,Spain,2004,7.81127205745994
-13.5754384536198,RES,Spain,2003,7.81949665890529
-13.5714469546228,RES,Spain,2008,7.92331709169353
-13.5611528732242,RES,Spain,2017,7.85946927274608
-13.5602439207912,RES,Spain,2006,7.86320922578936
-13.5568818665385,RES,Spain,2000,7.81415212881136
-13.548622377902,RES,Spain,1993,7.58577507530093
-13.5482146737831,HIGH,Spain,2014,7.16666816809817
-13.5456286746305,RES,Spain,2007,7.92717876575088
-13.5430542734919,RES,Spain,2002,7.86593231314806
-13.5311013910426,RES,Spain,1996,7.82312524107421
-13.5304919806371,RES,Spain,1994,7.56686765546792
-13.5275026368881,RES,Spain,2010,7.64960562362268
-13.5253119810453,RES,Spain,1995,7.71562737895755
-13.5066129683365,RES,Spain,1999,7.80891015658404
-13.5049618028954,RES,Spain,2018,7.93236962144719
-13.4915007056743,RES,Spain,2001,7.8918962330874
-13.4860537867652,RES,Spain,2019,7.94734960917018
-13.4788903112255,RES,Spain,2016,7.95443627185328
-13.4726978254014,PRIM,Spain,1995,13.0309993753347
-13.4549879755916,RES,Spain,2009,7.89837469868868
-13.4296542050348,RES,Spain,2011,7.89588716841336
-13.421913902678,PRIM,Spain,1996,13.10817014894
-13.4206369677743,RES,Spain,1997,7.79306094932928
-13.3906758638197,RES,Spain,1998,7.83974526982353
-13.3864252347522,PRIM,Spain,2009,13.655775952889
-13.3563228255293,PRIM,Spain,2010,13.3785687829835
-13.3512305822357,RES,Spain,2015,8.03667163235149
-13.3424250498453,PRIM,Spain,2005,13.3788093828959
-13.3328087187131,RES,Spain,2012,8.07283242521169
-13.3230145610999,PRIM,Spain,2008,13.5548946884841
-13.3176666167628,PRIM,Spain,2007,13.5458884516309
-13.3055736587231,PRIM,Spain,1997,13.1667113064655
-13.3013436107404,PRIM,Spain,2006,13.4642711875054
-13.2822968224749,PRIM,Spain,2000,13.231717692363
-13.2809633563383,RES,Spain,2014,8.07554614375525
-13.2759170103877,PRIM,Spain,2004,13.3039828669784
-13.2713270234102,PRIM,Spain,2002,13.3937947674209
-13.2613637958446,PRIM,Spain,1999,13.1917597836995
