reporter,year,tech,tech_exports,xsum,xqt,xprices,tech_imports,msum,mqt,mprices,income,consump,imports,fprices,xrate,prices,rprices,old_rprices,exports,inst_income,fincome_alt,fincome,fincome_alt3,fincome_alt2,investment,sum_tech_exports,sum_tech_imports,share_tech_exports,share_tech_imports
Portugal,2016,PRIM,22.0120270132162,12594757494.942,3628288960,5.84968966526387,23.8096810115797,22808959433.929,21898435033.975,4.64590842775607,5.21135544288103,5.03150336667587,4.32086772952852,96.8046826,1.106903113,98.3790287,4.61978036070686,4.61371362862809,4.33368555714995,5.21723292031579,12.1563529327643,9.52884192740566,12.162379097321,9.23989408682615,3.37469425608182,65652100016.528,77643273402.694,0.191840893006793,0.29376607186087
Portugal,2016,RES,23.6808365270712,16796208517.701,19251147900,4.46875267333202,22.6182274509024,11385018907.164,6652293044.518,5.14250693225476,5.21135544288103,5.03150336667587,4.32086772952852,96.8046826,1.106903113,98.3790287,4.61978036070686,4.61371362862809,4.33368555714995,5.21723292031579,12.1563529327643,9.52884192740566,12.162379097321,9.23989408682615,3.37469425608182,65652100016.528,77643273402.694,0.255836576643741,0.146632392069768
Portugal,2017,HIGH,19.2893048518494,5253355144,238362898,7.6979981186148,19.2795580151887,9982225935.083,236050899.407,8.34968411278705,5.24581860903958,5.04833241126899,4.39877435539293,100.4769819,1.129681176,101.3132712,4.64007284455567,4.60273523088961,4.41439459433157,5.23268314825015,12.1733053966691,9.55398744351506,12.1793782989272,9.26518823688596,3.48703587665008,72892997373.551,90456828377.852,0.0720694076699632,0.110353481479427
Portugal,2017,LOW,22.3516312073571,16563038959.145,5095538589,5.78397845972388,22.0906583477637,14053897705.618,3925102677.706,5.88067744924759,5.24581860903958,5.04833241126899,4.39877435539293,100.4769819,1.129681176,101.3132712,4.64007284455567,4.60273523088961,4.41439459433157,5.23268314825015,12.1733053966691,9.55398744351506,12.1793782989272,9.26518823688596,3.48703587665008,72892997373.551,90456828377.852,0.227224007187758,0.155365802202491
Portugal,2017,MED,22.2022907309407,18680147227.761,4388664181,6.05360660633521,21.9601614037748,25616802165.675,3444902378.223,6.61152308994852,5.24581860903958,5.04833241126899,4.39877435539293,100.4769819,1.129681176,101.3132712,4.64007284455567,4.60273523088961,4.41439459433157,5.23268314825015,12.1733053966691,9.55398744351506,12.1793782989272,9.26518823688596,3.48703587665008,72892997373.551,90456828377.852,0.256268062788416,0.283193680621541
Portugal,2017,PRIM,22.0219199538357,13463004859.207,3664361545,5.90646161202635,24.05567751472,27490477376.619,28005801293.655,4.58659817570534,5.24581860903958,5.04833241126899,4.39877435539293,100.4769819,1.129681176,101.3132712,4.64007284455567,4.60273523088961,4.41439459433157,5.23268314825015,12.1733053966691,9.55398744351506,12.1793782989272,9.26518823688596,3.48703587665008,72892997373.551,90456828377.852,0.184695448730333,0.303907155154579
Portugal,2017,RES,23.5813685112873,18933451183.438,17428428143,4.68799777316421,23.1639632554969,13313425194.857,11481045045.089,4.75324570669761,5.24581860903958,5.04833241126899,4.39877435539293,100.4769819,1.129681176,101.3132712,4.64007284455567,4.60273523088961,4.41439459433157,5.23268314825015,12.1733053966691,9.55398744351506,12.1793782989272,9.26518823688596,3.48703587665008,72892997373.551,90456828377.852,0.25974307362353,0.147179880541962
Portugal,2018,HIGH,18.9746411129677,5433031349,174013095,8.04629214762813,19.4763823286048,12190138589.171,287399079.458,8.35268100684533,5.27391349976658,5.07006453506294,4.44726881443565,103.2801258,1.18095451,103.598449,4.65548986651745,4.59511706629233,4.45489830720978,5.25266599564523,12.1806545619202,9.57102996541449,12.1867891783371,9.2820805581358,3.56249588340752,86557039824.204,110229870956.547,0.0627682203554373,0.110588341285244
Portugal,2018,LOW,22.3825207484602,19141642761.53,5255393652,5.89778148552712,22.0961534408873,16633726820.105,3946730852.433,6.04371495237609,5.27391349976658,5.07006453506294,4.44726881443565,103.2801258,1.18095451,103.598449,4.65548986651745,4.59511706629233,4.45489830720978,5.25266599564523,12.1806545619202,9.57102996541449,12.1867891783371,9.2820805581358,3.56249588340752,86557039824.204,110229870956.547,0.221144840447483,0.150900356462016
Portugal,2018,MED,22.3133681874123,24314780938.156,4904250855,6.20615227000794,22.2361654280394,31526636772.082,4539875510.547,6.54310339521062,5.27391349976658,5.07006453506294,4.44726881443565,103.2801258,1.18095451,103.598449,4.65548986651745,4.59511706629233,4.45489830720978,5.25266599564523,12.1806545619202,9.57102996541449,12.1867891783371,9.2820805581358,3.56249588340752,86557039824.204,110229870956.547,0.280910495409027,0.286008107407745
Portugal,2018,PRIM,22.2511431097309,15534588287.825,4608384090,5.82036195346534,24.0746782645812,33613088331.388,28543020136.612,4.76867328314622,5.27391349976658,5.07006453506294,4.44726881443565,103.2801258,1.18095451,103.598449,4.65548986651745,4.59511706629233,4.45489830720978,5.25266599564523,12.1806545619202,9.57102996541449,12.1867891783371,9.2820805581358,3.56249588340752,86557039824.204,110229870956.547,0.179472268452982,0.304936293943757
Portugal,2018,RES,23.6838859187785,22132996487.693,19309941788,4.74161965292498,22.9244897384551,16266280443.801,9036065989.272,5.19304056517955,5.27391349976658,5.07006453506294,4.44726881443565,103.2801258,1.18095451,103.598449,4.65548986651745,4.59511706629233,4.45489830720978,5.25266599564523,12.1806545619202,9.57102996541449,12.1867891783371,9.2820805581358,3.56249588340752,86557039824.204,110229870956.547,0.255704175335071,0.147566900901238
